millis,year,month,day,hour,minute,second,voltage,satellites,hdop,gps_altitude_m,course,speed_mps,latitude,longitude,temperature_C,pressure_Pa,pressure_altitude_m,humidity_RH,
58481,2021,6,19,17,25,41,7.33,6,1.46,364.20,80.6,0.0,47.59503173,-120.66492462,29.95,97329.80,338.07,21.59,
58982,2021,6,19,17,25,42,7.30,6,1.46,364.30,80.6,0.0,47.59502792,-120.66492462,29.93,97331.49,337.92,21.51,
59483,2021,6,19,17,25,42,7.33,6,1.46,364.30,80.6,0.0,47.59502792,-120.66492462,29.91,97332.67,337.82,21.03,
59984,2021,6,19,17,25,43,7.30,6,1.46,364.50,80.6,0.0,47.59502792,-120.66492462,29.90,97333.21,337.78,20.70,
60489,2021,6,19,17,25,43,7.18,6,1.46,364.50,80.6,0.0,47.59502792,-120.66492462,29.88,97330.86,337.98,20.65,
60993,2021,6,19,17,25,44,7.30,6,1.46,364.80,80.6,0.1,47.59502792,-120.66492462,29.88,97331.80,337.90,20.57,
61498,2021,6,19,17,25,44,7.33,6,1.46,364.80,80.6,0.1,47.59502792,-120.66492462,29.86,97328.93,338.14,20.37,
62000,2021,6,19,17,25,45,7.30,6,1.46,365.10,80.6,0.1,47.59503173,-120.66493225,29.84,97328.78,338.16,20.30,
62504,2021,6,19,17,25,45,7.30,6,1.46,365.10,80.6,0.1,47.59503173,-120.66493225,29.85,97328.13,338.21,20.29,
63006,2021,6,19,17,25,46,7.27,6,1.46,365.10,80.6,0.1,47.59503173,-120.66493225,29.86,97332.46,337.84,20.13,
63511,2021,6,19,17,25,46,7.30,6,1.46,365.10,80.6,0.1,47.59503173,-120.66493225,29.86,97332.96,337.80,20.10,
64013,2021,6,19,17,25,47,7.30,6,1.46,365.20,80.6,0.0,47.59503173,-120.66493225,29.87,97326.03,338.39,20.31,
64514,2021,6,19,17,25,47,7.30,6,1.46,365.20,80.6,0.0,47.59503173,-120.66493225,29.88,97336.23,337.52,20.25,
65015,2021,6,19,17,25,48,7.27,6,1.46,365.20,80.6,0.0,47.59503173,-120.66493225,29.88,97334.36,337.68,20.50,
65519,2021,6,19,17,25,48,7.33,6,1.46,365.20,80.6,0.0,47.59503173,-120.66493225,29.88,97331.27,337.94,20.73,
66021,2021,6,19,17,25,49,7.27,6,1.46,365.20,80.6,0.0,47.59502792,-120.66493225,29.88,97330.86,337.98,21.41,
66525,2021,6,19,17,25,49,7.30,6,1.46,365.20,80.6,0.0,47.59502792,-120.66493225,29.86,97334.71,337.65,21.32,
67027,2021,6,19,17,25,50,7.30,6,1.46,365.30,80.6,0.0,47.59502792,-120.66493225,29.86,97332.55,337.83,21.34,
67532,2021,6,19,17,25,50,7.30,6,1.46,365.30,80.6,0.0,47.59502792,-120.66493225,29.85,97329.59,338.09,21.13,
68034,2021,6,19,17,25,51,7.27,6,1.46,365.00,80.6,0.0,47.59502792,-120.66493225,29.83,97333.86,337.72,21.32,
68538,2021,6,19,17,25,51,7.27,6,1.46,365.00,80.6,0.0,47.59502792,-120.66493225,29.81,97334.21,337.69,20.95,
69041,2021,6,19,17,25,52,7.24,6,1.46,364.60,80.6,0.1,47.59502410,-120.66493225,29.78,97332.80,337.81,20.73,
69544,2021,6,19,17,25,52,7.27,6,1.46,364.60,80.6,0.1,47.59502410,-120.66493225,29.78,97329.71,338.08,20.55,
70046,2021,6,19,17,25,53,7.21,6,1.46,364.40,80.6,0.0,47.59502410,-120.66493225,29.79,97329.58,338.09,20.45,
70550,2021,6,19,17,25,53,7.24,6,1.46,364.40,80.6,0.0,47.59502410,-120.66493225,29.79,97333.61,337.74,20.47,
71053,2021,6,19,17,25,54,7.27,6,1.46,364.30,80.6,0.0,47.59502410,-120.66493225,29.77,97329.43,338.10,20.61,
71557,2021,6,19,17,25,54,7.27,6,1.46,364.30,80.6,0.0,47.59502410,-120.66493225,29.76,97335.85,337.55,20.19,
72060,2021,6,19,17,25,55,7.27,6,1.47,364.00,80.6,0.0,47.59502410,-120.66493225,29.74,97332.17,337.86,19.93,
72562,2021,6,19,17,25,55,7.27,6,1.47,364.00,80.6,0.0,47.59502410,-120.66493225,29.73,97331.89,337.89,20.35,
73065,2021,6,19,17,25,56,7.21,6,1.47,363.80,80.6,0.0,47.59502410,-120.66493225,29.71,97333.89,337.72,20.49,
73569,2021,6,19,17,25,56,7.27,6,1.47,363.80,80.6,0.0,47.59502410,-120.66493225,29.70,97334.10,337.70,20.61,
74073,2021,6,19,17,25,57,7.24,6,1.47,363.60,80.6,0.0,47.59502410,-120.66492462,29.70,97328.33,338.20,20.37,
74576,2021,6,19,17,25,57,7.21,6,1.47,363.60,80.6,0.0,47.59502410,-120.66492462,29.67,97331.48,337.93,20.85,
75078,2021,6,19,17,25,58,7.21,6,1.47,363.30,80.6,0.0,47.59502410,-120.66492462,29.63,97332.07,337.88,20.53,
75582,2021,6,19,17,25,58,7.21,6,1.47,363.30,80.6,0.0,47.59502410,-120.66492462,29.57,97335.56,337.57,20.26,
76083,2021,6,19,17,25,59,7.21,6,1.47,363.30,80.6,0.0,47.59502410,-120.66492462,29.54,97333.34,337.76,20.07,
76588,2021,6,19,17,25,59,7.24,6,1.47,363.30,80.6,0.0,47.59502410,-120.66492462,29.53,97337.49,337.41,20.03,
77089,2021,6,19,17,26,0,7.24,6,1.47,363.20,80.6,0.0,47.59502029,-120.66492462,29.52,97334.61,337.66,20.05,
77593,2021,6,19,17,26,0,7.24,6,1.47,363.20,80.6,0.0,47.59502029,-120.66492462,29.50,97331.78,337.90,20.11,
78096,2021,6,19,17,26,1,7.24,6,1.47,363.10,80.6,0.1,47.59502029,-120.66492462,29.47,97338.53,337.32,20.12,
78599,2021,6,19,17,26,1,7.24,6,1.47,363.10,80.6,0.1,47.59502029,-120.66492462,29.45,97332.98,337.80,20.20,
79102,2021,6,19,17,26,2,7.24,6,1.47,363.00,80.6,0.1,47.59502029,-120.66492462,29.45,97332.58,337.83,19.96,
79604,2021,6,19,17,26,2,7.27,6,1.47,363.00,80.6,0.1,47.59502029,-120.66492462,29.44,97336.19,337.52,20.29,
80107,2021,6,19,17,26,3,7.18,6,1.47,362.60,80.6,0.1,47.59502029,-120.66492462,29.45,97330.30,338.03,20.36,
80609,2021,6,19,17,26,3,7.21,6,1.47,362.60,80.6,0.1,47.59502029,-120.66492462,29.45,97333.92,337.71,20.63,
81113,2021,6,19,17,26,4,7.27,6,1.47,362.20,80.6,0.0,47.59502029,-120.66492462,29.44,97332.70,337.82,20.44,
81615,2021,6,19,17,26,4,7.24,6,1.47,362.20,80.6,0.0,47.59502029,-120.66492462,29.43,97330.55,338.00,20.31,
82118,2021,6,19,17,26,5,7.24,6,1.47,361.80,80.6,0.0,47.59502029,-120.66492462,29.44,97333.63,337.74,20.79,
82621,2021,6,19,17,26,5,7.18,6,1.47,361.80,80.6,0.0,47.59502029,-120.66492462,29.44,97333.63,337.74,20.97,
83124,2021,6,19,17,26,6,7.24,6,1.47,361.50,80.6,0.0,47.59502029,-120.66492462,29.45,97331.24,337.94,20.98,
83627,2021,6,19,17,26,6,7.18,6,1.47,361.50,80.6,0.0,47.59502029,-120.66492462,29.45,97331.24,337.94,21.03,
84130,2021,6,19,17,26,7,7.24,6,1.47,360.90,80.6,0.0,47.59502029,-120.66492462,29.44,97334.85,337.64,20.97,
84632,2021,6,19,17,26,7,7.21,6,1.47,360.90,80.6,0.0,47.59502029,-120.66492462,29.45,97331.24,337.94,20.95,
85136,2021,6,19,17,26,8,7.21,6,1.47,360.40,80.6,0.0,47.59502029,-120.66492462,29.46,97332.89,337.80,20.96,
85639,2021,6,19,17,26,8,7.21,6,1.47,360.40,80.6,0.0,47.59502029,-120.66492462,29.47,97334.51,337.66,20.95,
86142,2021,6,19,17,26,9,7.24,6,1.47,360.00,80.6,0.0,47.59502029,-120.66492462,29.48,97330.65,338.00,20.89,
86644,2021,6,19,17,26,9,7.18,6,1.47,360.00,80.6,0.0,47.59502029,-120.66492462,29.49,97332.30,337.85,20.90,
